iter	RMSE
0	352603.4225
1	337612.6489
2	324122.3679
3	311871.3974
4	299838.5511
5	289224.9809
6	279168.2979
7	269499.0293
8	261093.5249
9	252645.7193
10	244233.5277
11	237056.8591
12	230020.0574
13	224022.4423
14	218415.8829
15	212671.7743
16	207616.2551
17	202622.2938
18	198024.3245
19	193526.3358
20	189914.4996
21	186423.2887
22	182880.8498
23	179908.1873
24	176897.2308
25	173651.1961
26	170088.6591
27	167831.0323
28	164934.3423
29	161968.6048
30	159737.1681
31	157665.493
32	155951.1383
33	154132.4589
34	152385.6767
35	151028.4389
36	149737.3724
37	148024.2354
38	146687.8007
39	145573.341
40	144066.92
41	142815.1887
42	141899.5122
43	141046.9901
44	140239.6465
45	139504.9516
46	138606.7786
47	137853.9833
48	137302.3546
49	136443.9376
50	135620.8191
51	134544.4344
52	133474.9433
53	132764.7259
54	132223.0963
55	131693.8444
56	131183.175
57	130799.1651
58	130367.1296
59	130023.2868
60	129651.2833
61	129091.5419
62	128458.7349
63	128046.0843
64	127614.1723
65	127270.0499
66	126826.6837
67	126461.8416
68	126087.8353
69	125537.194
70	124926.2497
71	124574.9832
72	123936.5377
73	123664.496
74	123392.7564
75	122888.6402
76	122618.7108
77	122433.3144
78	122155.4246
79	121895.7844
80	121626.6484
81	121367.524
82	121093.8191
83	120947.6424
84	120627.5795
85	120380.5954
86	119976.8363
87	119710.833
88	119593.8183
89	119348.4145
90	119089.5195
91	118912.7672
92	118667.6727
93	118364.3246
94	118156.4964
95	117979.1485
96	117782.6829
97	117586.691
98	117380.6705
99	117207.8339
100	116879.5103
101	116701.9173
102	116468.2735
103	116261.7146
104	116115.5255
105	115902.8328
106	115754.658
107	115524.694
108	115369.2894
109	115188.7352
110	115036.3938
111	114687.6342
112	114429.274
113	114280.031
114	114088.4419
115	113918.7304
116	113394.2755
117	113249.8158
118	113117.8054
119	112992.5378
120	112688.6981
121	112527.3291
122	112394.7176
123	112264.1558
124	112067.9808
125	111925.1705
126	111772.5093
127	111618.8533
128	111416.0632
129	111224.218
130	111124.8268
131	110998.1816
132	110872.0376
133	110732.9173
134	110603.3233
135	110521.5786
136	110385.0338
137	110209.4299
138	110017.1989
139	109885.0125
140	109677.9497
141	109528.9756
142	109347.7627
143	109160.4714
144	109040.2821
145	108727.8481
146	108580.519
147	108429.9668
148	108258.1192
149	108132.6143
150	107973.0676
151	107822.9482
152	107662.3903
153	107576.2754
154	107392.3225
155	107258.1892
156	107150.7579
157	107048.0886
158	106907.2743
159	106606.67
160	106419.3463
161	106222.2801
162	106102.7696
163	105906.5343
164	105788.0167
165	105687.4169
