iter	Passed	Remaining
0	2	2728
1	4	2260
2	6	2110
3	8	2022
4	9	1989
5	11	1981
6	14	2062
7	16	2065
8	18	2038
9	20	2018
10	22	2002
11	24	1996
12	28	2188
13	31	2189
14	33	2178
15	35	2157
16	37	2140
17	39	2162
18	41	2164
19	43	2145
20	45	2129
21	48	2142
22	51	2172
23	54	2219
24	56	2201
25	58	2189
26	60	2179
27	62	2166
28	64	2160
29	67	2170
30	68	2153
31	70	2138
32	72	2125
33	74	2118
34	76	2105
35	78	2103
36	80	2091
37	82	2080
38	83	2069
39	85	2059
40	87	2050
41	89	2038
42	91	2041
43	93	2034
44	95	2023
45	97	2013
46	98	2005
47	100	1996
48	102	1985
49	104	1982
50	106	1978
51	108	1971
52	109	1964
53	111	1956
54	113	1948
55	115	1943
56	117	1943
57	119	1937
58	120	1929
59	122	1924
60	124	1917
61	126	1913
62	128	1909
63	130	1914
64	133	1915
65	134	1908
66	136	1902
67	138	1895
68	140	1890
69	141	1885
70	144	1894
71	146	1891
72	148	1889
73	150	1885
74	152	1879
75	154	1874
76	156	1872
77	158	1872
78	160	1868
79	162	1863
80	163	1860
81	165	1857
82	167	1853
83	170	1856
84	172	1854
85	173	1848
86	176	1851
87	178	1847
88	180	1843
89	182	1840
90	183	1835
91	185	1833
92	188	1842
93	190	1839
94	192	1836
95	194	1832
96	197	1834
97	198	1831
98	200	1827
99	202	1824
100	204	1819
101	206	1817
102	208	1818
103	210	1816
104	212	1811
105	214	1807
106	216	1806
107	218	1802
108	220	1799
109	222	1802
110	224	1798
111	226	1795
112	228	1792
113	230	1789
114	231	1785
115	233	1782
116	236	1783
117	239	1786
118	240	1782
119	242	1779
120	244	1777
121	246	1775
122	249	1776
123	251	1773
124	252	1769
125	254	1767
126	256	1764
127	258	1761
128	260	1761
129	263	1761
130	264	1757
131	266	1754
132	268	1751
133	270	1747
134	272	1744
135	274	1746
136	276	1743
137	278	1741
138	280	1738
139	282	1734
140	284	1733
141	286	1732
142	289	1732
143	290	1729
144	292	1726
145	294	1724
146	296	1721
147	298	1720
148	301	1722
149	303	1719
150	305	1716
151	307	1717
152	309	1714
153	311	1711
154	313	1709
155	315	1706
156	317	1703
157	319	1701
158	321	1702
159	323	1700
160	325	1697
161	327	1695
162	329	1692
163	331	1689
164	333	1689
165	336	1688
166	338	1686
167	339	1683
168	341	1681
169	343	1678
170	345	1676
171	348	1675
172	350	1673
173	352	1671
174	353	1668
175	355	1666
176	358	1664
177	360	1663
178	362	1661
179	363	1657
180	365	1654
181	367	1651
182	369	1648
183	371	1645
184	373	1645
185	375	1643
186	377	1640
187	379	1637
188	380	1634
189	382	1631
190	384	1630
191	387	1628
192	389	1626
193	390	1623
194	392	1621
195	394	1618
196	396	1616
197	399	1618
198	401	1615
199	403	1613
200	405	1610
201	407	1607
202	408	1605
203	411	1605
204	413	1603
205	415	1600
206	417	1598
207	418	1595
208	420	1592
209	422	1590
210	426	1596
211	429	1597
212	433	1600
213	437	1608
214	441	1613
215	444	1613
216	447	1613
217	451	1619
218	453	1618
219	455	1616
220	457	1613
221	459	1610
222	461	1607
223	463	1607
224	466	1605
225	467	1602
226	470	1601
227	473	1602
228	475	1601
229	513	1717
230	516	1718
231	518	1717
232	526	1732
233	528	1729
234	530	1727
235	532	1723
236	534	1720
237	535	1715
238	537	1712
239	539	1708
240	541	1706
241	544	1704
242	545	1700
243	547	1696
244	549	1693
245	551	1690
246	553	1686
247	555	1684
248	557	1680
249	558	1676
250	560	1673
251	562	1669
252	564	1666
253	566	1663
254	568	1661
255	570	1657
256	572	1654
257	574	1651
258	576	1648
259	577	1644
260	579	1641
261	582	1639
262	583	1636
263	585	1632
264	587	1629
265	589	1626
266	591	1623
267	593	1621
268	595	1617
269	597	1614
270	599	1613
271	601	1609
272	603	1606
273	605	1603
274	607	1601
275	609	1597
276	611	1594
277	612	1591
278	614	1588
279	617	1586
280	618	1583
281	621	1581
282	622	1578
283	624	1574
284	627	1573
285	628	1569
286	630	1566
287	632	1564
288	634	1561
289	636	1558
290	638	1555
291	640	1552
292	641	1548
293	643	1545
294	645	1542
295	647	1540
296	649	1537
297	651	1533
298	652	1530
299	654	1527
300	656	1524
301	658	1521
302	660	1519
303	662	1516
304	663	1512
305	665	1509
306	667	1506
307	669	1503
308	670	1500
309	673	1498
310	675	1495
311	676	1492
312	678	1489
313	680	1486
314	682	1483
315	683	1480
316	687	1480
317	689	1478
318	690	1475
319	692	1472
320	694	1469
321	696	1466
322	699	1466
323	701	1463
324	703	1460
325	705	1457
326	706	1454
327	708	1451
328	711	1450
329	713	1448
330	715	1445
331	717	1443
332	719	1440
333	720	1437
334	722	1434
335	725	1433
336	727	1430
337	729	1428
338	731	1425
339	732	1422
340	734	1420
341	737	1418
342	739	1416
343	741	1413
344	743	1411
345	745	1409
346	747	1407
347	749	1404
348	751	1402
349	754	1400
350	756	1397
351	757	1395
352	760	1393
353	762	1390
354	764	1388
355	766	1386
356	768	1383
357	770	1382
358	772	1379
359	774	1376
360	776	1373
361	778	1371
362	779	1368
363	781	1365
364	783	1363
365	785	1361
366	787	1359
367	789	1356
368	791	1353
369	794	1352
370	795	1349
371	798	1347
372	800	1345
373	801	1342
374	803	1339
375	805	1336
376	807	1334
377	809	1332
378	811	1329
379	813	1327
380	815	1324
381	817	1322
382	819	1319
383	820	1316
384	822	1314
385	824	1312
386	826	1309
387	828	1307
388	830	1304
389	832	1302
390	835	1301
391	837	1298
392	839	1295
393	840	1293
394	842	1290
395	844	1288
396	846	1285
397	848	1283
398	850	1280
399	852	1278
400	853	1275
401	855	1272
402	857	1270
403	859	1267
404	861	1265
405	863	1262
406	864	1260
407	866	1257
408	868	1254
409	870	1252
410	872	1249
411	873	1247
412	875	1245
413	877	1242
414	879	1239
415	881	1237
416	883	1234
417	884	1232
418	886	1229
419	888	1227
420	890	1225
421	892	1222
422	894	1219
423	895	1217
424	897	1214
425	899	1212
426	901	1210
427	903	1207
428	905	1205
429	907	1202
430	909	1200
431	910	1197
432	912	1195
433	914	1193
434	916	1190
435	918	1187
436	920	1185
437	921	1182
438	923	1180
439	925	1177
440	927	1176
441	929	1173
442	931	1171
443	933	1168
444	934	1166
445	936	1163
446	938	1161
447	940	1158
448	942	1156
449	944	1154
450	946	1151
451	947	1149
452	949	1146
453	951	1144
454	953	1141
455	955	1139
456	957	1137
457	958	1134
458	960	1132
459	962	1129
460	964	1127
461	966	1125
462	968	1123
463	970	1120
464	971	1118
465	973	1115
466	975	1113
467	977	1110
468	979	1109
469	981	1107
470	983	1104
471	985	1102
472	987	1099
473	988	1097
474	990	1095
475	992	1093
476	994	1090
477	996	1088
478	998	1085
479	1000	1083
480	1001	1080
481	1003	1078
482	1005	1076
483	1007	1074
484	1009	1071
485	1011	1069
486	1012	1066
487	1014	1064
488	1016	1062
489	1018	1060
490	1020	1058
491	1022	1055
492	1024	1053
493	1026	1050
494	1027	1048
495	1029	1046
496	1031	1043
497	1033	1041
498	1035	1039
499	1037	1037
500	1038	1034
501	1040	1032
502	1042	1030
503	1044	1028
504	1046	1025
505	1048	1023
506	1050	1021
507	1051	1018
508	1053	1016
509	1055	1013
510	1057	1011
511	1059	1009
512	1060	1007
513	1062	1005
514	1064	1002
515	1066	1000
516	1068	997
517	1069	995
518	1072	993
519	1074	991
520	1075	989
521	1077	986
522	1079	984
523	1080	981
524	1082	979
525	1085	978
526	1087	976
527	1089	973
528	1091	971
529	1093	969
530	1094	967
531	1097	965
532	1099	963
533	1100	960
534	1102	958
535	1104	956
536	1106	953
537	1108	951
538	1110	949
539	1112	947
540	1114	945
541	1115	943
542	1117	940
543	1119	938
544	1121	936
545	1123	934
546	1125	932
547	1127	930
548	1129	927
549	1131	925
550	1133	923
551	1134	921
552	1137	919
553	1139	916
554	1140	914
555	1142	912
556	1144	910
557	1146	907
558	1148	905
559	1150	903
560	1152	901
561	1153	899
562	1155	896
563	1157	894
564	1158	892
565	1160	889
566	1162	888
567	1164	885
568	1166	883
569	1168	881
570	1170	879
571	1171	876
572	1173	874
573	1175	872
574	1177	870
575	1179	868
576	1181	866
577	1183	863
578	1185	861
579	1186	859
580	1189	857
581	1191	855
582	1192	853
583	1194	851
584	1196	848
585	1198	846
586	1200	844
587	1202	842
588	1204	840
589	1205	838
590	1207	835
591	1209	833
592	1211	831
593	1213	829
594	1215	827
595	1218	825
596	1219	823
597	1221	821
598	1223	819
599	1225	816
600	1227	814
601	1229	812
602	1230	810
603	1232	808
604	1234	805
605	1236	803
606	1237	801
607	1240	799
608	1242	797
609	1243	795
610	1245	793
611	1247	790
612	1249	788
613	1251	786
614	1254	785
615	1256	783
616	1257	780
617	1259	778
618	1261	776
619	1263	774
620	1265	772
621	1267	770
622	1269	768
623	1271	765
624	1273	763
625	1275	761
626	1276	759
627	1278	757
628	1280	755
629	1282	753
630	1283	750
631	1285	748
632	1288	746
633	1290	744
634	1292	742
635	1293	740
636	1295	738
637	1297	736
638	1299	734
639	1301	732
640	1303	730
641	1305	727
642	1307	725
643	1308	723
644	1310	721
645	1313	719
646	1315	717
647	1317	715
648	1319	713
649	1321	711
650	1323	709
651	1324	707
652	1327	705
653	1329	703
654	1331	701
655	1332	698
656	1334	696
657	1336	694
658	1338	692
659	1340	690
660	1342	688
661	1343	686
662	1345	683
663	1347	681
664	1349	679
665	1351	677
666	1353	675
667	1355	673
668	1357	671
669	1359	669
670	1361	667
671	1362	665
672	1365	663
673	1367	661
674	1369	659
675	1370	657
676	1372	654
677	1374	652
678	1376	650
679	1378	648
680	1380	646
681	1382	644
682	1384	642
683	1386	640
684	1388	638
685	1389	636
686	1391	634
687	1393	632
688	1395	629
689	1397	627
690	1399	625
691	1401	623
692	1403	621
693	1405	619
694	1407	617
695	1409	615
696	1411	613
697	1413	611
698	1415	609
699	1417	607
700	1419	605
701	1421	603
702	1423	601
703	1425	599
704	1427	597
705	1429	595
706	1431	593
707	1433	591
708	1434	588
709	1436	586
710	1438	584
711	1440	582
712	1442	580
713	1444	578
714	1446	576
715	1448	574
716	1449	572
717	1451	570
718	1453	568
719	1455	566
720	1457	564
721	1459	562
722	1461	559
723	1463	557
724	1465	555
725	1466	553
726	1469	551
727	1470	549
728	1472	547
729	1474	545
730	1476	543
731	1477	541
732	1479	538
733	1481	536
734	1483	534
735	1485	532
736	1487	530
737	1489	528
738	1491	526
739	1492	524
740	1495	522
741	1497	520
742	1498	518
743	1500	516
744	1502	514
745	1504	512
746	1506	510
747	1508	508
748	1509	505
749	1511	503
750	1513	501
751	1515	499
752	1517	497
753	1519	495
754	1521	493
755	1523	491
756	1525	489
757	1527	487
758	1529	485
759	1531	483
760	1535	482
761	1537	480
762	1539	478
763	1541	476
764	1543	474
765	1545	472
766	1547	470
767	1549	467
768	1550	465
769	1552	463
770	1555	461
771	1557	459
772	1559	457
773	1560	455
774	1562	453
775	1564	451
776	1566	449
777	1568	447
778	1570	445
779	1572	443
780	1573	441
781	1575	439
782	1577	437
783	1579	435
784	1582	433
785	1583	431
786	1585	429
787	1587	427
788	1590	425
789	1592	423
790	1594	421
791	1596	419
792	1598	417
793	1599	415
794	1601	413
795	1603	410
796	1605	408
797	1607	407
798	1609	404
799	1611	402
800	1613	400
801	1615	398
802	1616	396
803	1618	394
804	1621	392
805	1623	390
806	1625	388
807	1626	386
808	1628	384
809	1630	382
810	1632	380
811	1634	378
812	1636	376
813	1638	374
814	1640	372
815	1642	370
816	1643	368
817	1645	366
818	1648	364
819	1650	362
820	1652	360
821	1653	358
822	1655	356
823	1657	354
824	1659	352
825	1661	350
826	1663	347
827	1665	345
828	1667	343
829	1669	341
830	1670	339
831	1673	337
832	1674	335
833	1676	333
834	1678	331
835	1680	329
836	1681	327
837	1683	325
838	1685	323
839	1687	321
840	1689	319
841	1691	317
842	1692	315
843	1694	313
844	1696	311
845	1698	309
846	1700	307
847	1702	305
848	1704	303
849	1705	301
850	1707	298
851	1709	296
852	1711	294
853	1713	292
854	1715	290
855	1717	288
856	1719	286
857	1720	284
858	1722	282
859	1724	280
860	1726	278
861	1728	276
862	1730	274
863	1732	272
864	1733	270
