iter	RMSE
0	6.894542385
1	6.640120842
2	6.400642129
3	6.163229957
4	5.94606304
5	5.727533171
6	5.522366271
7	5.324425138
8	5.152053258
9	4.969371142
10	4.797613236
11	4.6353431
12	4.481197962
13	4.336562171
14	4.193585895
15	4.054305607
16	3.929141468
17	3.798986226
18	3.683522221
19	3.577281675
20	3.466534367
21	3.363650141
22	3.265277392
23	3.168580461
24	3.080801367
25	2.994045196
26	2.913061718
27	2.830969398
28	2.758386228
29	2.691972983
30	2.625327255
31	2.564665948
32	2.499559147
33	2.444551872
34	2.386886251
35	2.337335608
36	2.28683387
37	2.237694619
38	2.188869612
39	2.145230633
40	2.102377236
41	2.065443208
42	2.028378762
43	1.996399939
44	1.964160881
45	1.931022508
46	1.906014448
47	1.880617796
48	1.851008827
49	1.826572904
50	1.804379454
51	1.780465479
52	1.759778875
53	1.741482334
54	1.720884993
55	1.701895156
56	1.68310528
57	1.666534455
58	1.65048067
59	1.635492248
60	1.62144513
61	1.607611178
62	1.597663878
63	1.585940383
64	1.574372205
65	1.564141661
66	1.553178222
67	1.543274184
68	1.53472376
69	1.525488934
70	1.517365825
71	1.510398522
72	1.503194794
73	1.495711495
74	1.489660707
75	1.482622136
76	1.476252397
77	1.469987307
78	1.463850142
79	1.457693212
80	1.451938866
81	1.446624487
82	1.441796949
83	1.43720119
84	1.432136509
85	1.426723566
86	1.422766442
87	1.418067713
88	1.413869825
89	1.410901487
90	1.406528082
91	1.402569156
92	1.399600097
93	1.395626451
94	1.392973185
95	1.389714265
96	1.386757815
97	1.38336329
98	1.380099929
99	1.376887863
100	1.373799581
101	1.370928713
102	1.367200131
103	1.365121737
104	1.362007096
105	1.360074797
106	1.358344463
107	1.355469369
108	1.352405175
109	1.349291746
110	1.347330354
111	1.344882346
112	1.34203227
113	1.33927199
114	1.336640252
115	1.334317731
116	1.331842072
117	1.329740084
118	1.327864155
119	1.326149301
120	1.324609443
121	1.322847752
122	1.320604959
123	1.319535817
124	1.317462844
125	1.315254863
126	1.312632938
127	1.309899424
128	1.308531303
129	1.306940813
130	1.305244265
131	1.303100917
132	1.301711688
133	1.300535061
134	1.298966062
135	1.297503551
136	1.295746281
137	1.293952976
138	1.292525886
139	1.290598557
140	1.289146548
141	1.28698465
142	1.285107591
143	1.283691082
144	1.282590496
145	1.280875887
146	1.279322802
147	1.277698462
148	1.275823176
149	1.274682189
150	1.273430446
151	1.272165977
152	1.270409193
153	1.268385331
154	1.266941201
155	1.265404515
156	1.262935083
157	1.260938873
158	1.259163855
159	1.257227819
160	1.254855352
161	1.252602264
162	1.251177233
163	1.249546171
164	1.24756612
165	1.246145256
166	1.244537877
167	1.243548497
168	1.242086446
169	1.240153016
170	1.238356526
171	1.236589215
172	1.235009981
173	1.233584251
174	1.232027783
175	1.230727126
176	1.22932887
177	1.228098551
178	1.226876882
179	1.225561324
180	1.223574486
181	1.221894529
182	1.220566964
183	1.218871304
184	1.21753935
185	1.216271682
186	1.214815427
187	1.212752938
188	1.211467311
189	1.20896031
190	1.207004392
191	1.205447472
192	1.204097951
193	1.202560557
194	1.201316493
195	1.199994249
196	1.19856451
197	1.197751339
198	1.196296152
199	1.194891895
200	1.192938
201	1.191069322
202	1.189888208
203	1.188699401
204	1.187458734
205	1.186083921
206	1.184765627
207	1.183400485
208	1.181700045
209	1.180089535
210	1.178896162
211	1.177236591
212	1.176779968
213	1.175907057
214	1.173995156
215	1.172716206
216	1.172107167
217	1.171682091
218	1.170736563
219	1.170149665
220	1.169038804
221	1.168050497
222	1.167369223
223	1.166114168
224	1.164331253
